x,y,center_x,center_y,hexbin_id,hex_attempts,hex_pct,hex_points_scored,hex_points_per_shot,zone_range,name_zone,zone_attempts,zone_pct,zone_points_scored,zone_points_per_shot,league_pct,league_pps,slug_season,streak_col,radius_factor,adj_x,adj_y,bounded_fg_diff,bounded_fg_pct,bounded_points_per_shot
21.749999,22.717621392718744,20.999999,22.284608690826524,559,1,0,0,0,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-21.33523936345842,22.478159804912472,0.15,0.5327102803738317,1.5
21.749999,21.851595988934303,20.999999,22.284608690826524,559,1,0,0,0,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-21.33523936345842,22.091057576740575,0.15,0.5327102803738317,1.5
20.999999,21.418583287042086,20.999999,22.284608690826524,559,1,0,0,0,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-20.999999,21.89750646265463,0.15,0.5327102803738317,1.5
20.249999,21.851595988934303,20.999999,22.284608690826524,559,1,0,0,0,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-20.664758636541578,22.091057576740575,0.15,0.5327102803738317,1.5
20.249999,22.717621392718744,20.999999,22.284608690826524,559,1,0,0,0,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-20.664758636541578,22.478159804912472,0.15,0.5327102803738317,1.5
20.999999,23.15063409461096,20.999999,22.284608690826524,559,1,0,0,0,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-20.999999,22.671710918998418,0.15,0.5327102803738317,1.5
23.249999,22.717621392718744,22.499999,22.284608690826524,560,1,1,3,3,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-22.83523936345842,22.478159804912472,0.15,0.5327102803738317,1.5
23.249999,21.851595988934303,22.499999,22.284608690826524,560,1,1,3,3,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-22.83523936345842,22.091057576740575,0.15,0.5327102803738317,1.5
22.499999,21.418583287042086,22.499999,22.284608690826524,560,1,1,3,3,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-22.499999,21.89750646265463,0.15,0.5327102803738317,1.5
21.749999,21.851595988934303,22.499999,22.284608690826524,560,1,1,3,3,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-22.164758636541578,22.091057576740575,0.15,0.5327102803738317,1.5
21.749999,22.717621392718744,22.499999,22.284608690826524,560,1,1,3,3,24+ ft.,Right Side Center,107,0.5327102803738317,171,1.5981308411214954,0.3522262185290835,1.06,2015-2021,3+ Makes,0.4469871512778951,-22.164758636541578,22.478159804912472,0.15,0.5327102803738317,1.5
